semana,dia,enfoque,fase_semana,bloque,ejercicio,series,reps_o_tiempo,,carga_sugerida,rpe_rir,tempo,descanso,objetivo,regla_tendon_24h,progresion,notas
1,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Accesorio tendón,Hammer curl slow,2-3,12-15,,ligero-moderado,RIR 3-4,3-1-3,60-90 s,Carga lenta para tendón de codo/bíceps,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Sube peso solo si no hay dolor al día siguiente.
1,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Prehab,Face pull / rear delt,3,15-20,,ligero,RIR 4,2-1-2,60 s,Salud de hombro y postura,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Codos altos sin dolor.
1,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Tendón/activación,Spanish squat o extensión isométrica,5,30-45 s,,moderado,dolor <=3/10,isométrico,60-90 s,Tolerancia de tendón rotuliano/cuádriceps,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Ángulo cómodo; debe sentirse cuádriceps, no dolor punzante."
1,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Principal,Squat libre,4,8,,80-83,RIR 3-4,3-1-2,2-4 min,Hipertrofia/fuerza basada en 100x7,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No grinder; si la espalda baja molesta, cambia a hack de la fila siguiente."
1,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Alternativa si no hay squat,Hack squat,3,10,,90-95,RIR 3,3-1-2,2-3 min,Mismo objetivo con más estabilidad,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Usa esta fila solo si ese día no haces squat libre.
1,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Accesorio,Isquio sentado,3,12,,41-45,RIR 3,3-1-2,90-120 s,Isquios y protección de rodilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Pausa 1s abajo/contraído.
1,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Accesorio tendón,Extensión de cuadriceps slow,3,12-15,,ligero-moderado,RIR 3,3-1-3,90 s,HSR ligero/moderado para tendón de rodilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Rango sin dolor; no bloquear agresivo.
1,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Accesorio,Pantorrilla de pie o prensa,4,12-15,,15-25 kg o 25 lb+,RIR 2-3,3-1-2,60-90 s,Tendón Aquiles/pantorrilla e hipertrofia,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Sube por reps antes de subir carga.
1,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Core,Plancha / dead bug,3,30-45 s,,BW,controlado,controlado,60 s,Estabilidad para sentadilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Sin dolor lumbar.
1,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Skill controlado,Handstand lean,5,15 s,,BW,técnico,controlado,60-90 s,Tolerancia de muñeca/hombro sin fatiga excesiva,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Corta serie antes de perder posición.
1,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Skill excéntrico,Negative lean,3,6,,BW,RIR 4,5 s negativa,60-90 s,Control excéntrico hombro/escápula,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Bajada de 5s; cero rebotes.
1,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Técnica,Muscle-up en anillas - práctica,5,1 transición asistida,,banda/anillas bajas,RIR 5,controlado,2-3 min,Mantener habilidad sin irritar codo/hombro,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No fallo. Si sientes tendón, cambia por transición en anillas bajas."
1,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Accesorio,Shoulder press ligero,3,12,,28-30,RIR 4,3-1-2,90-120 s,Volumen técnico adicional de hombro,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Debe sentirse fácil y limpio.
1,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Accesorio,Elevación lateral,3,15-20,,ligero,RIR 3-4,2-1-2,60 s,Hipertrofia deltoide sin mucho estrés articular,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",No balancear.
1,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,"Base/analgesia: tempo lento, RIR 3-4, sin fallo",Prehab,YTWL / trap 3 raise,2-3,12-15,,muy ligero,RIR 4,2-1-2,45-60 s,Escápula y manguito rotador,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Calidad > peso.
2,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Tendón/activación,"Isométrico empuje mid-range (pared o barra, sin dolor)",3-5,30-45 s,,40-60% esfuerzo,dolor <=3/10,isométrico,60-90 s,Analgesia y tolerancia de tendón antes de empujar,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Codo/hombro en posición cómoda; no busques temblor máximo.
2,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Principal,Incline bench press,4,8-9,,65,RIR 3,3-1-2,2-3 min,Hipertrofia y fuerza submáxima basada en 70x10/80x5,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No fallo; barra siempre rápida. Si hombro se siente raro, usa agarre un poco más cerrado."
2,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Accesorio,Peck deck,3,12,,57.5,RIR 3,3-1-2,90-120 s,Volumen de pecho con baja demanda técnica,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Mantén escápulas fijas; no estires agresivo abajo.
2,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Accesorio,Shoulder press,3,10,,34,RIR 3,3-1-2,2 min,Deltoide/press sin llegar al límite,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Recorrido limpio; si molesta, cambia a mancuernas o landmine."
2,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Accesorio controlado,Dips,3,9,,BW,RIR 3-4,3-1-2,2 min,Mantener patrón sin irritar tendón anterior/hombro,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Prohibido fallo las primeras 7 semanas; profundidad solo hasta donde no moleste.
2,D1 Push,Hipertrofia pecho/hombro + descarga tendón hombro/codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Prehab,Rotación externa banda/cable,3,15-20,,ligero,RIR 4,2-1-2,45-60 s,Manguito rotador y estabilidad escapular,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Que queme músculo, no tendón/articulación."
2,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Tendón/activación,Isométrico curl martillo a 90°,3-5,30-45 s,,moderado,dolor <=3/10,isométrico,60-90 s,Preparar tendón de bíceps/antebrazo,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Muñeca neutra; si se irrita, cambia por agarre pronado."
2,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Principal,Supine pull-up / dominada supina,4,8,,BW + 2.5-5 kg,RIR 3,3-1-2,2-3 min,Mantener fuerza con menos estrés que tus +40 kg pesados,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Pecho hacia barra, bajada lenta; no busques fallo."
2,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Principal accesorio,Gironda row,4,11-12,,52,RIR 3,3-1-2,2 min,Volumen de dorsales/romboides basado en 54x10,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Pausa 1s contraído; evita tirones.
2,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Control escapular,Scap pull-ups,3,10-12,,BW,RIR 4,2-1-2,60-90 s,Técnica de dominada y descarga de codo,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Solo movimiento escapular, brazos largos."
2,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Accesorio tendón,Hammer curl slow,2-3,12-15,,ligero-moderado,RIR 3-4,3-1-3,60-90 s,Carga lenta para tendón de codo/bíceps,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Sube peso solo si no hay dolor al día siguiente.
2,D2 Pull,Hipertrofia espalda/bíceps + tolerancia tendón codo,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Prehab,Face pull / rear delt,3,15-20,,ligero,RIR 4,2-1-2,60 s,Salud de hombro y postura,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Codos altos sin dolor.
2,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Tendón/activación,Spanish squat o extensión isométrica,5,30-45 s,,moderado,dolor <=3/10,isométrico,60-90 s,Tolerancia de tendón rotuliano/cuádriceps,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","Ángulo cómodo; debe sentirse cuádriceps, no dolor punzante."
2,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Principal,Squat libre,4,8,,85,RIR 3,3-1-2,2-4 min,Hipertrofia/fuerza basada en 100x7,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.","No grinder; si la espalda baja molesta, cambia a hack de la fila siguiente."
2,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Alternativa si no hay squat,Hack squat,3,10,,97.5,RIR 3,3-1-2,2-3 min,Mismo objetivo con más estabilidad,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Usa esta fila solo si ese día no haces squat libre.
2,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Accesorio,Isquio sentado,3,12,,45,RIR 3,3-1-2,90-120 s,Isquios y protección de rodilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Pausa 1s abajo/contraído.
2,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Accesorio tendón,Extensión de cuadriceps slow,3,12-15,,59,RIR 3,3-1-3,90 s,HSR ligero/moderado para tendón de rodilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Rango sin dolor; no bloquear agresivo.
2,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Accesorio,Pantorrilla de pie o prensa,4,12-15,,15-25 kg o 25 lb+,RIR 2-3,3-1-2,60-90 s,Tendón Aquiles/pantorrilla e hipertrofia,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Sube por reps antes de subir carga.
2,D3 Legs,Hipertrofia pierna + tendón rodilla/isquio,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Core,Plancha / dead bug,3,30-45 s,,BW,controlado,controlado,60 s,Estabilidad para sentadilla,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Sin dolor lumbar.
2,D4 Skill/Shoulder,Skill hombro + hipertrofia ligera + recuperación tendinosa,Base + volumen suave: +1-2 reps o +2.5 kg si 24h OK,Skill controlado,Handstand lean,5,20 s,,BW,técnico,controlado,60-90 s,Tolerancia de muñeca/hombro sin fatiga excesiva,Dolor permitido 0-3/10 durante; debe quedar igual o mejor a las 24h. Si >3/10 o peor mañana: baja 10-20% carga/volumen y acorta ROM.,"Cuando completes el tope de reps con RIR>=2 y regla 24h OK, sube 2.5 kg en básicos/máquinas o +1 rep por serie; accesorios +1-2 reps antes de subir peso.",Corta serie antes de perder posición.
